ID,trading_pair,signal_time,leverage,price,quantity,position_after_trade,is_close,margin_snapshot,base_asset,quote_asset,trade_direction,abs_quantity,trade_value_usdt,position_value_usdt
1218007,XRP/USDT:USDT,2025-07-24 05:06:05.884000+00:00,10,3.11438915,127.9,127.9,False,56189.05315869,XRP,USDT,LONG,127.9,398.330372285,398.330372285
1218014,XRP/USDT:USDT,2025-07-24 05:06:08.089000+00:00,10,3.1108,675.5,803.4,False,56189.05315869,XRP,USDT,LONG,675.5,2101.3453999999997,2499.21672
1218866,DOGE/USDT:USDT,2025-07-24 05:27:30.043000+00:00,10,0.23350037,10718.0,10718.0,False,56174.46583294,DOGE,USDT,LONG,10718.0,2502.65696566,2502.65696566
1219154,DOGE/USDT:USDT,2025-07-24 05:45:02.533000+00:00,10,0.23596,-10718.0,0.0,True,56174.46583294,DOGE,USDT,SHORT,10718.0,2529.01928,0.0
1219467,ICP/USDT:USDT,2025-07-24 05:49:14.983000+00:00,10,5.44541268,138.0,138.0,False,56224.00389368,ICP,USDT,LONG,138.0,751.46694984,751.46694984
1219473,ICP/USDT:USDT,2025-07-24 05:49:17.053000+00:00,10,5.445,321.0,459.0,False,56224.00389368,ICP,USDT,LONG,321.0,1747.845,2499.255
1219484,IOTA/USDT:USDT,2025-07-24 05:49:19.085000+00:00,10,0.2008,12465.7,12465.7,False,56224.00389368,IOTA,USDT,LONG,12465.7,2503.11256,2503.11256
1219604,XRP/USDT:USDT,2025-07-24 05:51:21.416000+00:00,10,3.0646,815.9,1619.3,False,56224.00389368,XRP,USDT,LONG,815.9,2500.40714,4962.50678
1219780,SOL/USDT:USDT,2025-07-24 05:54:51.805000+00:00,10,183.4783193,13.64,13.64,False,56164.03501018,SOL,USDT,LONG,13.64,2502.644275252,2502.644275252
1219922,SUI/USDT:USDT,2025-07-24 05:56:34.982000+00:00,10,3.60540095,693.8,693.8,False,56164.03501018,SUI,USDT,LONG,693.8,2501.42717911,2501.42717911
1219971,ALGO/USDT:USDT,2025-07-24 05:57:04.520000+00:00,10,0.25730741,9728.0,9728.0,False,56164.03501018,ALGO,USDT,LONG,9728.0,2503.0864844800003,2503.0864844800003
1220029,BNB/USDT:USDT,2025-07-24 05:57:23.356000+00:00,10,752.85990917,3.32,3.32,False,56164.03501018,BNB,USDT,LONG,3.32,2499.4948984444,2499.4948984444
1220717,IOTA/USDT:USDT,2025-07-24 06:15:03.905000+00:00,10,0.2008,-12465.7,0.0,True,56224.00389368,IOTA,USDT,SHORT,12465.7,2503.11256,0.0
1221335,XRP/USDT:USDT,2025-07-24 06:30:02.518000+00:00,10,3.0946,-1619.3,0.0,True,56224.00389368,XRP,USDT,SHORT,1619.3,5011.085779999999,0.0
